subject,start,end,organizer,required attendees,optional attendees
Covenant Renewal Ceremony — Ephesus,2025-06-30 19:00:00,2025-06-30 20:00:00,Quartus,Crescens;Caleb;Thaddaeus;Gad_Prophet;Zacharias;James_Zebedee;Manaen;Ham,Joel;Saul;Reuben;Japheth;Jezebel
Apostolic Letter Review — Thyatira,2025-07-01 09:20:00,2025-07-01 11:50:00,Titus,Caleb;Esther;Stephanas;Asher;Nehemiah;Mark;Jonathan;Prochorus;Philip;Job;Thaddaeus;Manasseh_King,Epaphroditus;Lucius;Thomas;Gad
Missionary Strategy Session — Hebron,2025-07-01 13:30:00,2025-07-01 14:30:00,Mordecai,Rachel;Joel,Naomi;Zebulun;Zephaniah;Phinehas;Simeon_Temple
Feast of Tabernacles Planning — Beersheba,2025-07-02 08:00:00,2025-07-02 09:30:00,James_Alphaeus,Titus;Thomas;Jacob;Zebulun;Leah;Crescens,Samuel;Deborah
Watchman Report — Sinai,2025-07-02 08:20:00,2025-07-02 08:50:00,Nehemiah,Zenas;Deborah;Anna;Junia;Adam;Josiah,Jonah;Esau
Sacrifice Order Briefing — Hebron,2025-07-05 08:45:00,2025-07-05 09:15:00,Aquila,Benjamin;Joseph_NT;Ezra;Fortunatus;Junia;Gad;Boaz;Zipporah;Ahab;Manasseh;Gaius_Derbe,Sosthenes;Caleb
Collection for the Saints — Sinai,2025-07-06 09:30:00,2025-07-06 10:00:00,Carpus,Thomas;Fortunatus;Matthew;Aquila;Uzziah;Nathan;Samson,Solomon;Samuel;Judah;Phoebe
Church Planting Review — Caesarea,2025-07-06 11:00:00,2025-07-06 14:00:00,Peter,Nahum;Archippus;Sosthenes;John,
Baptism Service Coordination — Megiddo,2025-07-06 18:20:00,2025-07-06 20:50:00,Isaiah,Prochorus;Rebekah;Nehemiah,Hosea;John_Baptist;Zacharias;Lydia
Synagogue Teaching Plan — Joppa,2025-07-06 18:30:00,2025-07-06 21:00:00,Aristarchus,Demetrius;Asa;Obadiah;Tabitha;Naphtali;Joseph_NT;Micah;Gad,Andronicus;Judah;Levi;Zedekiah
Sanhedrin Hearing — Nineveh,2025-07-07 08:00:00,2025-07-07 10:00:00,Haggai,Simeon_Temple;Philip_Deacon;Paul;Crescens;Dionysius,Ehud;Demetrius
Battle Strategy Session — Joppa,2025-07-08 07:00:00,2025-07-08 10:00:00,Peter,Solomon;Abraham;Zephaniah;Zipporah;Rehoboam;Dan;Damaris,
Deacon Selection — Alexandria,2025-07-08 07:20:00,2025-07-08 10:20:00,Seth,Achaicus;Agabus;Rachel;Zephaniah;John;John_Baptist;Isaiah;Joshua,Nymphas;Epaphras;Nicanor;Cleopas;Daniel_Friend_Meshach
Sanhedrin Hearing — Haran,2025-07-08 07:30:00,2025-07-08 09:00:00,Timothy,Philemon;Timon;Agabus;Thomas;John_Baptist;Anna_Prophetess;Crescens;Anna;Cleopas;Zechariah,
School of Prophets — Bethlehem,2025-07-08 13:15:00,2025-07-08 15:15:00,Paul,Cleopas;Peter;Ephraim;Crispus;Esau;Manaen;Josiah;Manasseh;Rehoboam;Moses;Leah,Isaac;Timothy;Hosea
Tribal Council — Haran,2025-07-10 08:00:00,2025-07-10 10:00:00,Fortunatus,Stephanas;Benjamin;Rehoboam;Asher;Andronicus,Barak;Jacob;Anna;Joseph_Barsabas;Moses
Collection for the Saints — Pergamum,2025-07-10 09:45:00,2025-07-10 10:30:00,Solomon,Abigail;Tychicus;Esau;Shem;Mordecai;Uzziah,Daniel_Friend_Meshach
Famine Relief Coordination — Troas,2025-07-11 08:00:00,2025-07-11 12:00:00,Eli,Micah;Aristarchus,Naphtali
Feast of Tabernacles Planning — Thessalonica,2025-07-11 09:00:00,2025-07-11 10:00:00,Shem,Nicolas;Archippus;Apollos;Uzziah;Obadiah;Jeroboam;Joel;Elijah;Trophimus;Miriam,Gideon;Ahab;Esau
Sacrifice Order Briefing — Haran,2025-07-11 10:00:00,2025-07-11 11:30:00,Daniel,Anna_Prophetess;Esther;Ehud;Nicolas;Timothy;Jezebel,Apollos;Erastus;Reuben;Issachar
Passover Preparation — Smyrna,2025-07-11 18:30:00,2025-07-11 20:30:00,Onesiphorus,Caius;Zechariah;Job,
Sanhedrin Hearing — Tiberias,2025-07-11 19:30:00,2025-07-11 20:30:00,Joshua,Demas;Josiah;Apollos;Elijah;Habakkuk;Eutychus;Epaphras;Nicolas;Zebulun;Leah,Nehemiah;John
Baptism Service Coordination — Troas,2025-07-12 16:30:00,2025-07-12 18:00:00,Habakkuk,Enoch;Gideon;Junia;Gaius_Derbe,Lucius;Priscilla
Council of Apostles — Hierapolis,2025-07-13 11:00:00,2025-07-13 12:30:00,Prochorus,Ham;Gideon;Uzziah;Issachar,Japheth
Farewell Address — Haran,2025-07-13 11:00:00,2025-07-13 12:30:00,Bathsheba,Jehu;Phoebe;Tabitha;Epaphroditus;Trophimus;David;Philip;Jeroboam,Nathan;Jeremiah;Abigail;Onesiphorus;Andronicus
Missionary Strategy Session — Smyrna,2025-07-13 14:30:00,2025-07-13 15:30:00,Hezekiah,Dionysius;Enoch,Malachi;Solomon
Synagogue Teaching Plan — Alexandria,2025-07-13 14:45:00,2025-07-13 15:45:00,Paul,Demas;Mordecai;Matthias;Ehud;Aquila;Abigail;Jeremiah;Dionysius,Naphtali;Eutychus;Nicolas;Caleb;Gideon
School of Prophets — Sinai,2025-07-13 16:00:00,2025-07-13 20:00:00,Aquila,Jephthah;Jehu;Elisha,Manasseh_King;Nicolas;Joshua
Prophetic Word Hearing — Miletus,2025-07-13 18:00:00,2025-07-13 21:00:00,Paul,Leah;Onesiphorus;Seth;Esau;Daniel_Friend_Shadrach;Jonathan,Uzziah;Ruth;Omri
Temple Service Planning — Miletus,2025-07-15 09:00:00,2025-07-15 13:00:00,Simon_Zealot,Isaac;Samson;Justus,Luke;Philip;Erastus;Zephaniah;Jacob
Trial Preparation — Sardis,2025-07-15 10:00:00,2025-07-15 12:00:00,Daniel_Friend_Abednego,Japheth;Lydia;Fortunatus,Issachar;Abigail;Isaac;Eleazar
Sacrifice Order Briefing — Gilgal,2025-07-15 13:00:00,2025-07-15 14:00:00,Nehemiah,Shem;Philip_Deacon;John,
Royal Court Session — Tarsus,2025-07-15 16:00:00,2025-07-15 16:30:00,Moses,Caleb;James_Zebedee;Samson,
Elders Meeting — Babylon,2025-07-15 19:30:00,2025-07-15 21:00:00,John,Manasseh_King;Ephraim;James_Zebedee;Junia,Thomas;Shamgar;Eleazar;Mordecai
Doctrinal Council — Samaria,2025-07-17 08:00:00,2025-07-17 09:30:00,Barnabas,Rehoboam;Damaris;Manasseh_King;Nicanor;David;Deborah;Gad_Prophet;Cornelius,
Priestly Rotation Review — Jericho,2025-07-17 13:00:00,2025-07-17 16:00:00,Simeon_Temple,Jonah;Samuel;Trophimus;Jonathan;Cornelius;Sarah;Jezebel;Manasseh_King;Dan;Gaius_Derbe;Secundus,
Trial Preparation — Derbe,2025-07-18 18:30:00,2025-07-18 19:15:00,Elisha,Issachar;Daniel_Friend_Meshach,Boaz;Ham;Moses;Noah
Discipleship Training — Sinai,2025-07-18 18:30:00,2025-07-18 20:00:00,Ezra,Demas;Philip_Deacon;Epaphroditus,Asa;Matthew
Prayer Vigil — Hierapolis,2025-07-19 08:20:00,2025-07-19 09:20:00,Joshua,Judah;Thaddaeus;Andronicus;Titus;Benjamin,Gideon;Joseph_Barsabas;Naomi;Stephanas;Daniel_Friend_Abednego
Land Inheritance Meeting — Nazareth,2025-07-19 09:30:00,2025-07-19 12:00:00,Samuel,Jacob;Hezekiah;Othniel;Isaiah;Phoebe;Crescens;Hosea;Stephanas,Simeon;Asa;Luke;John;Rufus
Tabernacle Service Coordination — Capernaum,2025-07-19 13:30:00,2025-07-19 17:30:00,Zenas,Junia;Zedekiah;Demas;Silas;Noah;Miriam;Obadiah,Quartus;Dionysius
Watchman Report — Mount_Horeb,2025-07-20 08:45:00,2025-07-20 11:45:00,Lydia,Thaddaeus;Crispus;Josiah;Isaiah;Phinehas;Mordecai;Demetrius;Nehemiah;Obadiah;Ham,Chloe;Cornelius;Isaac
Sacrifice Order Briefing — Shiloh,2025-07-20 10:00:00,2025-07-20 10:30:00,Nehemiah,Erastus;Judah;Cleopas;Samuel;Anna;Shamgar;Peter;Zedekiah,Nahum;Sosthenes;Sopater;Dionysius;Naomi
Tribal Council — Haran,2025-07-21 09:30:00,2025-07-21 12:30:00,Luke,Deborah;Demas;Paul,
Feast of Tabernacles Planning — Cana,2025-07-22 09:00:00,2025-07-22 10:30:00,Amos,John;Mark;Malachi;Leah;James_Zebedee;Elijah;Zerubbabel;Issachar,Esau;Crispus;Mary;Thomas
Letter Dictation — Bethel,2025-07-23 10:30:00,2025-07-23 11:30:00,Aaron,Manasseh;Matthias;James_Alphaeus;Simeon_Temple;Barak;Gad_Prophet,Jehoshaphat
Priestly Rotation Review — Mizpah,2025-07-23 11:00:00,2025-07-23 11:45:00,Zenas,Joel;Nymphas;Matthew;Zacharias;Joseph_Barsabas;Bathsheba;Fortunatus;Jehu,
Royal Court Session — Cyprus,2025-07-23 13:00:00,2025-07-23 14:30:00,Aaron,Aholiab;Saul;Abraham;Josiah;Micah,
Discipleship Training — Berea,2025-07-24 14:00:00,2025-07-24 17:00:00,Ezekiel,Cleopas;Jeremiah,Daniel_Friend_Meshach
Missionary Strategy Session — Jezreel,2025-07-25 07:30:00,2025-07-25 08:30:00,James_Alphaeus,Carpus;Bezaleel;Jason;Seth;Elisabeth;Jacob;Rebekah;Thaddaeus;Barnabas;Sarah;Simeon_Temple,Secundus
Widow's Care Logistics — Mizpah,2025-07-25 18:00:00,2025-07-25 21:00:00,Daniel,Habakkuk;Gaius_Derbe;Sarah;Onesiphorus;Daniel_Friend_Abednego;Joseph_OT;Ezra;John;Paul;Bathsheba;Leah;Ham,James_Alphaeus
Royal Court Session — Athens,2025-07-26 08:30:00,2025-07-26 10:00:00,Linus,Boaz;Paul;Junia;Miriam,Achaicus;Levi;Omri;Trophimus
Trial Preparation — Patmos,2025-07-26 10:15:00,2025-07-26 11:45:00,Zipporah,Zerubbabel;Cleopas;Enoch;Barak;Haggai;Elisabeth;Boaz;Ehud;Manasseh,
Widow's Care Logistics — Tarsus,2025-07-26 18:15:00,2025-07-26 19:45:00,Othniel,Daniel_Friend_Meshach;Deborah;Thaddaeus;James_Zebedee;Anna;Barnabas;Timothy,Matthew;Aholiab;Nicolas
Apostolic Letter Review — Jericho,2025-07-26 19:20:00,2025-07-26 23:20:00,Nehemiah,Ezra;Zechariah;Amos;Manasseh;Asher;Fortunatus,Noah;Apphia;Jason
Collection for the Saints — Mount_Horeb,2025-07-27 09:00:00,2025-07-27 10:30:00,Demetrius,Hezekiah;Bezaleel;Apollos;Zacharias;Asa;Zipporah;Anna;John_Baptist;Joseph_NT;Bartholomew;Luke;Chloe,Daniel_Friend_Shadrach;Abraham;Paul;Aholiab;Enoch
Census Review — Caesarea,2025-07-27 10:30:00,2025-07-27 11:15:00,Rehoboam,Ezekiel;Mordecai;Levi;Titus;Malachi,
Prayer Vigil — Bethlehem,2025-07-27 13:00:00,2025-07-27 13:45:00,Luke,Jezebel;Deborah;Micah;Crispus;Reuben;Shamgar,Saul;Anna_Prophetess;Thaddaeus;Phinehas;Noah
Elders Meeting — Malta,2025-07-27 18:15:00,2025-07-27 22:15:00,Naphtali,Jonathan;Ezekiel,Gideon
Tribal Council — Shechem,2025-07-28 09:30:00,2025-07-28 10:30:00,Epaphras,Esther;Gideon;Solomon;Nymphas,Sarah;Justus;Zenas
Royal Court Session — Bethsaida,2025-07-28 18:00:00,2025-07-28 21:00:00,Zacharias,Zipporah;Aaron;Eutychus;Apphia;Eleazar,
Farewell Address — Megiddo,2025-07-28 19:45:00,2025-07-28 22:45:00,Crispus,Shem;Sarah;Peter;Aaron;Daniel_Friend_Abednego;Matthew;Micah;Daniel_Friend_Shadrach;James_Zebedee;Bartholomew,Jacob;Rebekah;Samuel;Carpus
Vision Interpretation Session — Jezreel,2025-07-29 07:45:00,2025-07-29 09:15:00,Paul,Huldah;Joel;Jeremiah;Stephanas;Demetrius;Jason;Achaicus;Zipporah;Nymphas;Daniel_Friend_Shadrach;Joseph_Barsabas,Zedekiah
Feast of Tabernacles Planning — Philippi,2025-07-29 10:00:00,2025-07-29 14:00:00,Nymphas,Priscilla;Simeon_Temple;Levi;Zenas;Omri;Jehu,Ruth
Letter Dictation — Pergamum,2025-07-29 19:00:00,2025-07-29 22:00:00,Nathan,Onesiphorus;Zephaniah;Lydia;Eutychus;Ruth;Chloe,
Tribal Council — Patmos,2025-07-30 07:30:00,2025-07-30 09:00:00,Issachar,Anna_Prophetess;Ezekiel;Nicolas;Stephanas;Sopater;Othniel,Naphtali
Farewell Address — Gilgal,2025-07-30 11:15:00,2025-07-30 15:15:00,Cleopas,Jeremiah;Gad_Prophet,John_Baptist;Erastus
Baptism Service Coordination — Cana,2025-07-31 09:15:00,2025-07-31 11:45:00,Ezra,Elijah;Nahum;Aquila;Ephraim;Silas;Job;Peter;Jonathan;Gaius_Derbe;Anna_Prophetess;Daniel_Friend_Shadrach,Achaicus;Benjamin;Philip_Deacon;Deborah;Sarah
Prayer Vigil — Bethsaida,2025-08-01 09:00:00,2025-08-01 11:00:00,Hosea,Lydia;Saul;Jephthah;Bartholomew;Noah;Shamgar;Aaron;Simeon_Temple;Uzziah;Trophimus;Nymphas,Nicolas;Zebulun;Jethro
Prayer Vigil — Megiddo,2025-08-01 10:30:00,2025-08-01 12:30:00,Elijah,Jephthah;Shem;Phoebe;Apphia;Cleopas;Samson;Rufus;Parmenas;Bathsheba;Andronicus;Matthias;Manasseh_King,Crispus;Secundus;Demas;Bartholomew
Elders Meeting — Hebron,2025-08-01 15:30:00,2025-08-01 16:30:00,Nehemiah,Ephraim;Zebulun;Levi;Mordecai;Epaphroditus,Gad_Prophet;Abraham
Prophetic Word Hearing — Iconium,2025-08-01 15:30:00,2025-08-01 16:30:00,Junia,Parmenas;Issachar;Bezaleel;Japheth;Quartus;Daniel_Friend_Meshach;Paul;Isaac,Obadiah;Gideon;Shamgar;Nymphas;Philip_Deacon
Widow's Care Logistics — Derbe,2025-08-02 09:30:00,2025-08-02 12:00:00,Jethro,Peter;Jeremiah;Bezaleel,Gad;Zechariah;Joshua;Samuel
Covenant Renewal Ceremony — Antioch,2025-08-02 11:00:00,2025-08-02 13:30:00,Timothy,Isaac;Esther,Philip_Deacon;Manaen;Sopater
Covenant Renewal Ceremony — Sardis,2025-08-03 08:00:00,2025-08-03 10:00:00,James_Alphaeus,Sosthenes;Nicanor;Benjamin;Cleopas;Quartus;Crescens;Nymphas;Agabus;Miriam;Abigail,Damaris;Joshua;Samuel;Lydia
Doctrinal Council — Malta,2025-08-05 16:45:00,2025-08-05 18:15:00,Barnabas,Jeremiah;Eutychus;Eli,Nymphas;Tychicus;Naomi;Asher
Watchman Report — Capernaum,2025-08-06 08:30:00,2025-08-06 09:00:00,Simeon_Temple,Joseph_Barsabas;James_Alphaeus;Chloe;Crescens;Bezaleel;Linus;Jehoshaphat;Simeon;Isaac;Eleazar;Nicanor;Demas,Shem;Parmenas;Andronicus;Esau;Uzziah
Trial Preparation — Haran,2025-08-06 16:00:00,2025-08-06 18:00:00,Lydia,Gad;Moses;Issachar;Crescens;Deborah;Ezekiel;Eleazar;Jephthah,Isaiah;Naphtali
Tabernacle Service Coordination — Jezreel,2025-08-06 16:00:00,2025-08-06 18:00:00,Ahab,Nicanor;Obadiah;Dionysius;Onesimus;Barak,Fortunatus;Job;Nymphas
Church Planting Review — Cyprus,2025-08-07 07:15:00,2025-08-07 07:45:00,John,Enoch;Andrew;Stephen;Daniel;Jeremiah;Prochorus;Dan;Anna;Josiah;Priscilla;Aholiab,Aristarchus;Saul;Uzziah;Amos;Miriam
Priestly Rotation Review — Cana,2025-08-07 14:45:00,2025-08-07 15:30:00,Silas,Parmenas;Ham;Shamgar;Onesimus;Elisha;Eutychus;Caleb;Daniel,Esau;Quartus;Benjamin;Jonathan
Prophetic Word Hearing — Ur,2025-08-08 09:30:00,2025-08-08 11:00:00,Paul,Dan;Sosthenes;Luke;Aholiab;John_Baptist;Miriam;Prochorus;Seth;Junia,Manasseh_King
Farewell Address — Ramah,2025-08-08 10:20:00,2025-08-08 10:50:00,Zipporah,Naomi;Eutychus;Miriam;Eleazar;Tychicus;Jeremiah,
Battle Strategy Session — Miletus,2025-08-08 15:00:00,2025-08-08 16:00:00,Philemon,Sopater;Malachi;Bartholomew;Demetrius;Zipporah;Isaiah;Demas;Amos;Ruth;Reuben;Lucius;Stephen,Naomi;Parmenas;Cornelius;Eutychus;Samuel
Elders Meeting — Ur,2025-08-08 18:30:00,2025-08-08 20:30:00,Philip,Manasseh_King;Junia;Uzziah;Obadiah;Elisabeth;Achaicus;Jezebel;Seth;Sarah;Noah,Isaac;Shamgar
Deacon Selection — Shiloh,2025-08-09 15:00:00,2025-08-09 15:30:00,Solomon,Enoch;Jeroboam;Ham;Jeremiah;Crispus,Daniel_Friend_Shadrach;Jonathan;Issachar
Synagogue Teaching Plan — Beersheba,2025-08-10 16:30:00,2025-08-10 17:00:00,Paul,Luke;Eli;Phoebe;Jephthah;Asher;Onesiphorus;Shamgar;Zenas;Habakkuk;Micah;Justus;Amos,
Letter Dictation — Philadelphia,2025-08-11 09:30:00,2025-08-11 11:30:00,Philip,Tychicus;Manaen,
Synagogue Teaching Plan — Alexandria,2025-08-12 16:00:00,2025-08-12 18:00:00,Ezekiel,Silas;Ezra,Malachi;Elisabeth
Watchman Report — Babylon,2025-08-12 18:00:00,2025-08-12 21:00:00,Esau,Bezaleel;James_Alphaeus;Habakkuk;Othniel;Seth;Zenas;Barnabas;Zechariah,Chloe;Jonah;Parmenas
Judges Assembly — Damascus,2025-08-12 18:00:00,2025-08-12 18:30:00,Lucius,Bathsheba;Nymphas;Daniel_Friend_Abednego;Archippus;Simeon_Temple;Carpus;Omri;Simeon,Issachar;Jason;Joseph_OT;Leah;Gad_Prophet
Prophetic Word Hearing — Hebron,2025-08-13 07:30:00,2025-08-13 09:00:00,Phinehas,Ehud;Abraham;Bezaleel;Nehemiah;Eleazar;Judah;Josiah;Levi;Noah,Epaphroditus;Thomas;Jephthah;Bathsheba
